VALOR DO M2 DO TERRENO;VALOR DO M2 DE CONSTRUCAO
748.0;1171.0
367.0;416.0
422.0;613.0
3986.0;1894.0
2634.6666666666665;1999.6666666666667
3357.0;1894.0
2611.0;1894.0
254.0;777.0
291.0;1171.0
436.0;1084.0
315.0;777.0
209.0;613.0
279.0;613.0
630.0;1171.0
1349.0;1554.0
471.0;0.0
179.0;613.0
3802.0;1894.0
764.5;810.0
1357.0;1894.0
1357.0;1894.0
1357.0;1894.0
1357.0;1894.0
1357.0;1894.0
1357.0;1894.0
24639.0;2288.0
2553.0;1894.0
583.0;843.0
7029.0;2211.0
1697.0;1642.0
1697.0;1642.0
1460.0;1642.0
1697.0;1642.0
1660.0;1642.0
1660.0;1642.0
1697.0;1642.0
1660.0;1642.0
1660.0;1642.0
1660.0;1642.0
2119.0;1642.0
859.0;1171.0
1660.0;1642.0
208.0;613.0
1660.0;1642.0
1697.0;1642.0
1660.0;1642.0
7194.0;2737.0
1697.0;1642.0
1697.0;1642.0
1697.0;1642.0
1697.0;1642.0
1697.0;1642.0
1660.0;1642.0
1697.0;1642.0
1697.0;1642.0
1697.0;1642.0
623.0;799.0
1697.0;1642.0
1660.0;1642.0
1815.0;1894.0
1660.0;1642.0
7194.0;2737.0
1758.0;1894.0
1660.0;1642.0
1660.0;1642.0
1660.0;1642.0
7194.0;2737.0
479.0;777.0
873.0;1171.0
7148.0;2211.0
429.0;525.0
2792.0;1894.0
2553.0;1894.0
3829.242424242424;1546.5757575757575
245.0;0.0
4005.0;1894.0
1703.0;1773.0
236.0;821.0
384.0;0.0
2160.0;1226.0
521.0;777.0
415.0;525.0
290.0;613.0
229.0;613.0
407.0;0.0
346.0;695.0
321.0;525.0
604.0;1149.0
632.0;919.0
122.0;613.0
474.0;525.0
725.0;766.0
170.0;0.0
446.0;777.0
210.5;306.5
182.0;525.0
88.0;569.0
273.0;613.0
98.0;777.0
308.0;0.0
572.0;777.0
126.71428571428571;619.8571428571429
478.0;525.0
129.6;420.0
409.5;525.0
255.0;919.0
24639.0;1894.0
221.0;919.0
187.0;525.0
2936.5;2080.0
1701.0;1642.0
3779.0;3186.0
3004.0;2211.0
