classe;numero_do_rip;uf;municipio;endereco;bairro;conceituacao;tipo_imovel;situacao_da_utilizacao;proprietario_oficial;regime_de_utilizacao;cep_do_imovel;valor_do_m2_do_terreno;valor_do_m2_de_construcao;normal_value_terreno;normal_value_construcao
DOMINIAL;7107000010520;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1001 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107000002692;SP;SAO PAULO;R GENERAL CARNEIRO 198 TERRENO CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107010005481;SP;SAO PAULO;R BOA VISTA 128 UNIDADE AUTONOMA 1005 CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917592;2298.4960380348653;0.304924832322154;0.6902565125998322
DOMINIAL;7107010005562;SP;SAO PAULO;R BOA VISTA 128 UNIDADE AUTONOMA 1006 CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917592;2298.4960380348653;0.304924832322154;0.6902565125998322
DOMINIAL;7107010004329;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 62 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107000017886;SP;SAO PAULO; STIPO ESTRADA DA ADUTORA DO RIO CLARO S/N KM 29 CEP: 01001000;SAO PAULO;MARINHA;TERRENO;EM USO;União (Adm. Pub. Fed. direta);OCUPACAO  ;1001000;4666.533512064343;1898.28418230563;1.0;1.0
DOMINIAL;7107010007697;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1406 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107000012060;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1501 1502 1503 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107010001222;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1805 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107000004474;SP;SAO PAULO;R GEN SOCRATES 351 TERRENO LOTE 34 A CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636;1.0;0.539531875927077
DOMINIAL;7107000021131;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1802 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
